20:12:58.249131 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:12:59.247527 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:00.245403 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:01.242919 IP 192.168.223.1.52202 > 239.255.255.250.1900: UDP, length 173
20:13:09.952695 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:09.953253 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953405 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:09.953868 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:09.953992 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.362396 IP6 fe80::3dba:e004:3100:7892.50272 > ff02::1:3.hostmon: UDP, length 22
20:13:10.362538 IP 192.168.223.1.50272 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.363450 IP6 fe80::3dba:e004:3100:7892.60026 > ff02::1:3.hostmon: UDP, length 22
20:13:10.363522 IP 192.168.223.1.60026 > 224.0.0.252.hostmon: UDP, length 22
20:13:10.701208 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:11.449300 IP 192.168.223.1.netbios-ns > 192.168.223.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
20:13:12.000267 IP 192.168.223.1.57621 > 192.168.223.255.57621: UDP, length 44
20:13:23.449079 ARP, Request who-has 192.168.223.57 (Broadcast) tell 192.168.223.130, length 46
20:13:23.449229 ARP, Request who-has 192.168.223.58 (Broadcast) tell 192.168.223.130, length 46
20:13:23.449283 ARP, Request who-has 192.168.223.59 (Broadcast) tell 192.168.223.130, length 46
20:13:23.449338 ARP, Request who-has 192.168.223.69 (Broadcast) tell 192.168.223.130, length 46
20:13:23.449353 ARP, Request who-has 192.168.223.70 (Broadcast) tell 192.168.223.130, length 46
20:13:23.449355 ARP, Request who-has 192.168.223.71 (Broadcast) tell 192.168.223.130, length 46
20:13:23.449395 ARP, Request who-has 192.168.223.72 (Broadcast) tell 192.168.223.130, length 46
20:13:23.451784 ARP, Request who-has 192.168.223.60 (Broadcast) tell 192.168.223.130, length 46
20:13:23.451923 ARP, Request who-has 192.168.223.61 (Broadcast) tell 192.168.223.130, length 46
20:13:23.451974 ARP, Request who-has 192.168.223.62 (Broadcast) tell 192.168.223.130, length 46
20:13:23.452021 ARP, Request who-has 192.168.223.65 (Broadcast) tell 192.168.223.130, length 46
20:13:23.454407 ARP, Request who-has 192.168.223.66 (Broadcast) tell 192.168.223.130, length 46
20:13:23.549636 ARP, Request who-has 192.168.223.69 (Broadcast) tell 192.168.223.130, length 46
20:13:23.549823 ARP, Request who-has 192.168.223.70 (Broadcast) tell 192.168.223.130, length 46
20:13:23.549888 ARP, Request who-has 192.168.223.71 (Broadcast) tell 192.168.223.130, length 46
20:13:23.550255 ARP, Request who-has 192.168.223.72 (Broadcast) tell 192.168.223.130, length 46
20:13:23.550372 ARP, Request who-has 192.168.223.79 (Broadcast) tell 192.168.223.130, length 46
20:13:23.550386 ARP, Request who-has 192.168.223.80 (Broadcast) tell 192.168.223.130, length 46
20:13:23.550388 ARP, Request who-has 192.168.223.81 (Broadcast) tell 192.168.223.130, length 46
20:13:23.552582 ARP, Request who-has 192.168.223.84 (Broadcast) tell 192.168.223.130, length 46
20:13:23.552593 ARP, Request who-has 192.168.223.85 (Broadcast) tell 192.168.223.130, length 46
20:13:23.552595 ARP, Request who-has 192.168.223.86 (Broadcast) tell 192.168.223.130, length 46
20:13:23.552626 ARP, Request who-has 192.168.223.87 (Broadcast) tell 192.168.223.130, length 46
20:13:23.555198 ARP, Request who-has 192.168.223.90 (Broadcast) tell 192.168.223.130, length 46
20:13:23.650275 ARP, Request who-has 192.168.223.93 (Broadcast) tell 192.168.223.130, length 46
20:13:23.650297 ARP, Request who-has 192.168.223.94 (Broadcast) tell 192.168.223.130, length 46
20:13:23.650300 ARP, Request who-has 192.168.223.95 (Broadcast) tell 192.168.223.130, length 46
20:13:23.652711 ARP, Request who-has 192.168.223.79 (Broadcast) tell 192.168.223.130, length 46
20:13:23.652863 ARP, Request who-has 192.168.223.80 (Broadcast) tell 192.168.223.130, length 46
20:13:23.652916 ARP, Request who-has 192.168.223.81 (Broadcast) tell 192.168.223.130, length 46
20:13:23.652979 ARP, Request who-has 192.168.223.84 (Broadcast) tell 192.168.223.130, length 46
20:13:23.653033 ARP, Request who-has 192.168.223.85 (Broadcast) tell 192.168.223.130, length 46
20:13:23.653086 ARP, Request who-has 192.168.223.86 (Broadcast) tell 192.168.223.130, length 46
20:13:23.653140 ARP, Request who-has 192.168.223.98 (Broadcast) tell 192.168.223.130, length 46
20:13:23.655117 ARP, Request who-has 192.168.223.87 (Broadcast) tell 192.168.223.130, length 46
20:13:23.657463 ARP, Request who-has 192.168.223.90 (Broadcast) tell 192.168.223.130, length 46
20:13:23.750584 ARP, Request who-has 192.168.223.93 (Broadcast) tell 192.168.223.130, length 46
20:13:23.750707 ARP, Request who-has 192.168.223.94 (Broadcast) tell 192.168.223.130, length 46
20:13:23.750764 ARP, Request who-has 192.168.223.95 (Broadcast) tell 192.168.223.130, length 46
20:13:23.753154 ARP, Request who-has 192.168.223.98 (Broadcast) tell 192.168.223.130, length 46
